id,latitude,longitude,period,persist,radius,drogue,t,u,v
114902.0,26.431,-42.48599999999999,38.388393627841374,131.75,20761.911226842334,1.0,12907.25,-0.03822119208505101,-0.009276720774409903
114902.0,26.403,-42.483000000000004,39.13382568241021,131.75,5764.296398486521,1.0,12907.5,-0.003349631715958583,0.010174546405548683
114902.0,26.412,-42.47199999999998,32.51053523743104,131.75,16626.101345715473,1.0,12907.75,0.008557802804075974,0.03619253969253843
114902.0,26.435,-42.464999999999975,11.209300445383054,131.75,7618.247150908141,1.0,12908.0,-0.005130541849299225,0.04915753372734317
114902.0,26.452,-42.466999999999985,7.371830220490037,131.75,4051.811454196912,1.0,12908.25,-0.02400549797510056,0.03195903995822882
114902.0,26.444,-42.488999999999976,6.829922622508955,131.75,3511.725275232682,1.0,12908.5,-0.019955093050858918,0.03162128365029798
114902.0,26.453,-42.507000000000005,6.829922622508955,131.75,4018.2250365378177,1.0,12908.75,8.236256360396894E-5,0.04278423716058774
114902.0,26.46,-42.488,6.829922622508955,131.75,6460.231935546185,1.0,12909.0,0.014607860279707278,0.06721673372928087
114902.0,26.471,-42.48000000000002,6.829922622508955,131.75,9721.008004153477,1.0,12909.25,-0.017822658924373538,0.10195907667300877
114902.0,26.494,-42.480999999999995,6.829922622508955,131.75,11675.023660292813,1.0,12909.5,-0.06774586004445929,0.10422869133593925
114902.0,26.523,-42.5,7.045529235599797,131.75,14835.350423231796,1.0,12909.75,-0.13678122406615026,0.06883761454572185
114902.0,26.536,-42.53199999999998,7.045529235599797,131.75,19181.984835518273,1.0,12910.0,-0.19798321701117322,-0.0017860405163387435
114902.0,26.529,-42.591999999999985,5.316950220100966,131.75,15782.679573127874,1.0,12910.25,-0.19903736314970102,-0.08355994132389351
114902.0,26.497,-42.64999999999998,4.333206800100705,131.75,12071.184276958253,1.0,12910.5,-0.16004877789283417,-0.1241971793969162
114902.0,26.464,-42.68299999999999,4.045896555594795,131.75,7738.356570559302,1.0,12910.75,-0.08093803625510843,-0.11311690823783765
114902.0,26.435,-42.69200000000001,3.8022280604515917,131.75,2816.705275657547,1.0,12911.0,0.0017159205771147441,-0.05384544381835525
114902.0,26.44,-42.66199999999998,3.8022280604515917,131.75,1497.613032068474,1.0,12911.25,0.02064629071620989,0.019854128052930527
114902.0,26.454,-42.648000000000025,3.8022280604515917,131.75,3483.0711577888433,1.0,12911.5,0.01769762898706326,0.06422402738791835
114902.0,26.486,-42.644000000000005,3.8022280604515917,131.75,3771.8165559365957,1.0,12911.75,-0.01664251929351932,0.0701944682785194
114902.0,26.49,-42.65300000000002,3.9328273136131506,131.75,3851.0082818414485,1.0,12912.0,-0.056996585384268376,0.0426864140779033
114902.0,26.498,-42.678999999999974,3.9328273136131506,131.75,3197.0696574756375,1.0,12912.25,-0.05850815164283629,0.008463529776827152
114902.0,26.488,-42.704999999999984,4.101119597953646,131.75,3069.5041110052416,1.0,12912.5,-0.052991397858910314,-0.012427751816336286
114902.0,26.482,-42.71100000000001,4.171573651523337,131.75,2161.5826210430096,1.0,12912.75,-0.035618812117284286,-0.012298788149189915
114902.0,26.476,-42.714999999999975,4.536761430698561,131.75,1490.1551752533974,1.0,12913.0,-0.023269714885418635,0.0053928698370211275
